Question Difficulty,Topic Difficulty,Score,Skill Level,Skill_Level_encoded,Time Taken (QNS/Seconds)
2.8,7.2,100.0,Advanced,2,12.0854
5.5,2.1,100.0,Advanced,2,14.7296
2.4,7.5,100.0,Advanced,2,5.1434
5.1,5.6,51.85,Beginner,0,25.2937
9.0,2.3,97.4,Advanced,2,6.9476
5.9,5.5,97.2,Advanced,2,9.941
9.9,9.1,14.5,Beginner,0,20.7393
2.3,9.2,97.0,Advanced,2,12.5161
8.6,1.1,56.35,Beginner,0,22.0456
3.6,6.0,100.0,Advanced,2,12.0646
5.0,7.8,42.4,Beginner,0,14.1556
7.6,5.6,40.6,Beginner,0,19.6682
4.2,2.9,68.05,Beginner,0,25.4313
4.6,2.2,69.4,Beginner,0,9.9506
1.8,7.6,57.699999999999996,Beginner,0,23.5382
9.8,2.8,43.3,Beginner,0,19.9501
6.0,9.7,88.6,Advanced,2,5.5453
8.6,8.7,49.45000000000001,Intermediate,1,6.5333
9.2,5.3,34.75,Beginner,0,17.0512
2.6,7.3,100.0,Advanced,2,7.2833
4.1,2.2,100.0,Advanced,2,14.2497
9.0,9.8,15.399999999999991,Beginner,0,22.1441
6.7,4.3,98.0,Advanced,2,4.8279
2.1,6.5,100.0,Advanced,2,2.6878
3.7,9.2,41.95,Beginner,0,7.6593
9.6,1.4,50.5,Beginner,0,9.495
5.6,9.0,90.8,Advanced,2,11.5649
7.7,4.3,46.0,Beginner,0,19.6226
9.8,4.8,34.3,Beginner,0,22.8775
4.1,7.1,49.6,Beginner,0,7.5653
4.0,9.6,92.8,Advanced,2,11.0241
4.6,3.5,100.0,Advanced,2,7.1016
4.5,1.2,100.0,Advanced,2,11.2047
1.8,7.3,59.050000000000004,Beginner,0,6.1533
2.6,3.3,100.0,Advanced,2,6.1759
1.0,2.0,100.0,Advanced,2,12.5656
6.6,7.6,91.6,Advanced,2,4.7532
1.4,9.2,98.8,Advanced,2,7.1031
3.4,2.8,72.1,Beginner,0,6.8608
4.8,1.9,86.55000000000001,Intermediate,1,17.5131
8.9,4.2,41.05,Beginner,0,6.4937
1.9,9.3,97.6,Advanced,2,9.1013
8.2,1.6,55.900000000000006,Beginner,0,9.0349
1.6,7.5,78.15,Intermediate,1,10.1214
7.1,5.4,43.75,Beginner,0,22.4418
2.6,4.8,66.69999999999999,Beginner,0,26.8334
2.4,3.1,75.25,Beginner,0,23.2257
2.3,8.4,51.85,Beginner,0,25.7895
2.9,7.9,51.4,Beginner,0,22.9024
2.2,4.3,100.0,Advanced,2,12.0783
6.8,2.0,60.4,Beginner,0,23.3809
1.8,6.6,100.0,Advanced,2,11.2581
9.8,9.8,11.799999999999997,Beginner,0,26.5841
6.1,4.8,50.95,Beginner,0,6.5483
2.3,1.6,100.0,Advanced,2,10.1978
1.8,9.7,48.25,Beginner,0,18.7692
6.9,7.0,37.449999999999996,Beginner,0,19.619
8.7,7.2,88.2,Advanced,2,9.5091
5.1,4.2,100.0,Advanced,2,7.6833
2.6,7.0,56.800000000000004,Beginner,0,6.875
5.0,6.4,48.699999999999996,Beginner,0,23.1305
1.3,4.3,74.8,Beginner,0,25.748
6.3,1.7,64.0,Beginner,0,23.0447
4.4,3.3,65.35,Beginner,0,10.1836
2.7,3.9,70.3,Beginner,0,13.3484
1.1,5.7,100.0,Advanced,2,14.2775
3.2,8.4,47.8,Beginner,0,25.2018
2.1,9.7,96.4,Advanced,2,5.5094
7.8,6.2,37.0,Beginner,0,20.5453
2.2,5.8,64.0,Beginner,0,27.3346
3.2,1.7,100.0,Advanced,2,11.1384
3.7,1.5,100.0,Advanced,2,8.2186
5.0,2.4,100.0,Advanced,2,10.5117
5.7,8.0,92.6,Advanced,2,13.8397
4.2,6.3,73.25,Intermediate,1,20.8564
7.0,3.8,51.4,Beginner,0,12.2956
9.5,5.5,32.5,Beginner,0,9.4772
2.2,1.2,84.7,Beginner,0,10.8674
7.2,1.8,100.0,Advanced,2,6.1046
2.3,8.9,49.6,Beginner,0,11.7361
5.7,8.4,91.8,Advanced,2,9.0875
2.8,6.0,60.4,Beginner,0,18.3142
8.7,3.2,96.2,Advanced,2,8.9096
9.9,6.9,24.39999999999999,Beginner,0,22.2311
2.8,7.4,99.6,Advanced,2,14.2517
9.9,9.3,13.599999999999994,Beginner,0,21.1084
2.1,10.0,45.550000000000004,Beginner,0,17.5927
4.3,3.8,63.550000000000004,Beginner,0,9.819
7.9,1.9,55.9,Beginner,0,17.7073
4.3,7.3,96.8,Advanced,2,5.1948
9.6,2.4,96.0,Advanced,2,4.3201
3.4,9.6,94.0,Advanced,2,7.4119
7.9,5.1,94.0,Advanced,2,8.5069
3.6,9.3,41.949999999999996,Beginner,0,21.2316
4.4,5.1,100.0,Advanced,2,4.5969
4.4,9.6,37.0,Beginner,0,21.7241
9.9,8.0,19.450000000000003,Beginner,0,24.1495
2.8,5.4,81.30000000000001,Intermediate,1,11.9387
2.3,7.5,100.0,Advanced,2,5.2032
6.9,7.8,90.6,Advanced,2,12.3412
5.4,4.1,57.25,Beginner,0,9.5017
6.7,4.2,50.949999999999996,Beginner,0,14.0805
6.7,1.2,64.44999999999999,Beginner,0,23.611
5.8,2.7,61.75,Beginner,0,20.8787
9.5,6.2,29.35000000000001,Beginner,0,22.0151
9.7,9.3,43.5,Intermediate,1,15.1444
9.0,7.6,25.299999999999997,Beginner,0,27.3949
2.2,6.9,59.05,Beginner,0,21.856
6.4,2.6,59.5,Beginner,0,9.9293
7.4,2.6,55.0,Beginner,0,23.701
7.6,8.9,87.0,Advanced,2,6.6847
4.7,7.7,95.2,Advanced,2,5.5243
9.4,6.4,28.89999999999999,Beginner,0,13.8636
3.3,6.7,100.0,Advanced,2,6.3658
1.7,3.7,100.0,Advanced,2,5.8948
6.1,9.9,28.0,Beginner,0,19.287
2.4,1.6,96.0,Intermediate,1,16.1696
5.1,4.5,100.0,Advanced,2,11.1669
7.0,3.5,52.75,Beginner,0,19.4878
6.1,5.2,49.15,Beginner,0,21.5968
9.2,1.1,53.650000000000006,Beginner,0,9.1913
6.0,9.4,89.2,Advanced,2,13.7821
1.7,5.7,100.0,Advanced,2,3.9679
4.3,3.3,100.0,Advanced,2,5.5228
4.4,8.8,93.6,Advanced,2,5.9445
6.0,4.1,99.8,Advanced,2,15.4293
4.4,7.3,96.6,Advanced,2,5.8203
8.6,5.2,92.4,Advanced,2,12.8891
6.4,5.9,44.65,Beginner,0,9.0465
9.0,7.2,27.10000000000001,Beginner,0,27.3574
8.3,9.7,84.0,Advanced,2,6.5341
7.6,8.8,26.200000000000003,Beginner,0,14.3431
1.8,4.6,87.6,Intermediate,1,8.0048
3.4,3.7,68.05,Beginner,0,21.2185
6.8,8.9,29.35000000000001,Beginner,0,8.3644
4.2,9.3,39.25,Beginner,0,15.974
6.9,3.2,54.55,Beginner,0,11.3942
3.1,7.1,99.6,Advanced,2,3.2861
3.1,1.8,100.0,Advanced,2,14.4746
7.8,7.9,29.35000000000001,Beginner,0,11.1763
6.7,8.6,31.14999999999999,Beginner,0,5.7634
3.8,3.7,100.0,Advanced,2,7.391
8.7,2.1,51.400000000000006,Beginner,0,24.5654
2.4,2.8,100.0,Advanced,2,10.1778
7.8,2.6,99.2,Advanced,2,10.7373
2.9,9.7,94.8,Advanced,2,8.5036
4.9,7.5,95.2,Advanced,2,5.7113
4.5,8.6,41.050000000000004,Beginner,0,14.1188
6.0,6.9,94.2,Advanced,2,11.4582
1.2,6.7,82.35,Intermediate,1,20.6798
9.6,5.4,32.5,Beginner,0,13.1108
1.7,3.1,100.0,Advanced,2,8.2526
9.6,5.6,31.60000000000001,Beginner,0,15.675
6.5,5.8,95.4,Advanced,2,6.4679
4.7,7.4,45.55,Beginner,0,9.0777
1.1,4.5,100.0,Advanced,2,11.7766
1.1,4.1,76.6,Beginner,0,14.5557
4.9,5.1,100.0,Advanced,2,10.4287
4.4,6.0,53.199999999999996,Beginner,0,13.0256
5.5,5.5,50.5,Beginner,0,24.7671
3.7,6.4,54.55,Beginner,0,22.7046
4.0,5.7,100.0,Advanced,2,15.2224
8.0,6.8,90.4,Advanced,2,7.071
9.6,5.2,33.39999999999999,Beginner,0,12.2389
4.9,8.1,41.5,Beginner,0,18.127
9.5,3.0,43.75,Beginner,0,19.85
4.1,3.7,64.9,Beginner,0,12.8222
1.1,2.4,84.25,Beginner,0,11.6521
3.1,9.6,42.85,Beginner,0,14.5866
3.3,1.0,100.0,Advanced,2,8.8138
8.6,3.2,96.4,Advanced,2,6.1724
7.7,3.9,47.800000000000004,Beginner,0,9.9685
3.1,7.9,98.0,Advanced,2,11.1755
5.6,3.1,100.0,Advanced,2,7.3751
9.4,8.2,20.799999999999997,Beginner,0,23.1601
5.4,5.0,99.2,Advanced,2,5.9859
9.4,7.3,86.6,Advanced,2,9.8013
1.6,6.4,100.0,Advanced,2,11.2486
3.2,3.7,68.95,Beginner,0,22.587
1.8,7.2,100.0,Advanced,2,6.8418
8.0,6.0,92.0,Advanced,2,7.3253
3.1,3.9,100.0,Advanced,2,11.6642
4.6,6.8,97.2,Advanced,2,4.7307
7.8,3.7,97.0,Advanced,2,13.7966
7.7,9.4,85.8,Advanced,2,2.4221
7.4,8.5,28.450000000000003,Beginner,0,20.3995
6.5,6.1,43.300000000000004,Beginner,0,22.0753
5.3,5.3,52.300000000000004,Beginner,0,10.4476
5.1,8.8,61.35,Intermediate,1,18.4191
8.6,5.4,92.0,Advanced,2,14.3764
1.2,5.1,100.0,Advanced,2,12.182
4.9,4.3,100.0,Advanced,2,11.016
4.5,2.6,100.0,Advanced,2,6.1205
2.7,6.0,60.85,Beginner,0,8.1549
2.3,7.3,100.0,Advanced,2,4.1855
3.7,6.4,99.8,Advanced,2,8.1813
10.0,2.6,43.300000000000004,Beginner,0,21.0238
9.8,7.7,21.25,Beginner,0,6.1675
9.2,3.0,95.6,Advanced,2,14.8161
8.2,8.3,87.0,Advanced,2,13.9005
3.7,2.3,100.0,Advanced,2,12.9835
3.4,8.3,96.6,Advanced,2,5.0223
3.6,7.9,97.0,Advanced,2,6.1841
3.0,7.0,100.0,Advanced,2,10.8488
1.1,6.1,100.0,Advanced,2,10.7455
6.8,4.0,98.4,Advanced,2,14.2107
9.0,3.9,94.2,Advanced,2,3.4496
4.1,8.7,94.4,Advanced,2,12.4265
1.5,6.7,63.1,Beginner,0,9.9231
7.2,9.3,87.0,Advanced,2,12.0185
1.2,6.6,64.9,Beginner,0,15.3941
5.5,8.8,35.64999999999999,Beginner,0,15.4731
5.7,5.9,96.8,Advanced,2,4.6819
5.3,1.1,71.2,Beginner,0,9.3683
1.5,1.9,100.0,Advanced,2,6.6924
4.7,7.3,96.0,Advanced,2,8.7943
7.2,3.1,53.65,Beginner,0,7.068
3.0,7.5,99.0,Advanced,2,12.7778
4.6,7.6,45.1,Beginner,0,15.7952
2.5,5.0,66.25,Beginner,0,11.5032
8.1,8.4,25.75,Beginner,0,23.7385
4.8,9.2,37.0,Beginner,0,26.82
7.0,6.2,93.6,Advanced,2,5.0668
9.1,4.1,40.6,Beginner,0,9.3213
1.7,5.6,100.0,Advanced,2,10.5797
6.5,4.2,98.6,Advanced,2,4.1567
7.7,4.4,45.55,Beginner,0,7.1646
2.3,2.1,80.2,Beginner,0,18.9988
2.0,5.8,100.0,Advanced,2,2.5254
2.4,4.2,100.0,Advanced,2,8.5641
1.2,7.1,100.0,Advanced,2,6.2923
5.7,2.0,100.0,Advanced,2,8.2659
4.0,5.1,59.050000000000004,Beginner,0,21.3345
8.6,3.4,96.0,Advanced,2,9.3612
5.5,9.4,90.2,Advanced,2,13.7217
5.4,10.0,30.700000000000003,Beginner,0,14.6763
9.2,3.1,95.4,Advanced,2,9.0865
7.4,4.7,95.8,Advanced,2,7.5367
2.4,7.6,100.0,Advanced,2,8.8206
5.4,5.2,98.8,Advanced,2,7.6148
5.6,8.2,92.4,Advanced,2,8.6949
7.5,4.4,46.449999999999996,Beginner,0,25.1697
8.8,2.5,49.15,Beginner,0,7.1876
3.9,1.0,77.95,Beginner,0,8.923
5.5,8.0,39.25,Beginner,0,9.8715
7.8,2.2,55.0,Beginner,0,9.0908
5.3,7.4,42.85,Beginner,0,20.9223
7.3,5.3,94.8,Advanced,2,15.2997
4.2,7.0,97.6,Advanced,2,8.3892
4.7,3.9,100.0,Advanced,2,12.9026
1.7,5.9,100.0,Advanced,2,7.7753
9.0,1.3,53.65,Beginner,0,24.1493
2.3,7.5,55.9,Beginner,0,26.087
7.6,4.5,45.550000000000004,Beginner,0,22.7116
6.4,3.7,99.8,Advanced,2,10.9626
6.6,4.6,49.6,Beginner,0,22.468
1.5,6.5,64.0,Beginner,0,20.0578
1.3,5.5,100.0,Advanced,2,4.0681
1.8,4.2,73.0,Beginner,0,6.7718
3.5,5.3,60.4,Beginner,0,19.1874
6.7,5.5,67.30000000000001,Intermediate,1,13.032
9.8,3.4,93.6,Advanced,2,5.4894
5.0,4.2,100.0,Advanced,2,6.4952
3.8,5.8,56.800000000000004,Beginner,0,22.4979
1.2,5.6,100.0,Advanced,2,6.2039
8.5,8.1,25.299999999999997,Beginner,0,23.9964
6.9,3.7,98.8,Advanced,2,5.7984
9.9,6.1,88.0,Advanced,2,14.2361
7.2,4.5,96.6,Advanced,2,12.569
6.4,7.0,93.2,Advanced,2,2.933
3.4,9.1,43.75,Beginner,0,18.8492
2.6,7.4,100.0,Advanced,2,9.5945
3.7,9.3,41.5,Beginner,0,10.9927
3.2,1.6,100.0,Advanced,2,7.9247
8.2,6.9,89.8,Advanced,2,9.7584
4.9,6.7,69.39999999999999,Intermediate,1,5.6013
2.8,7.5,53.65,Beginner,0,21.3623
7.2,6.4,92.8,Advanced,2,9.8365
7.9,5.6,93.0,Advanced,2,14.4531
4.2,1.6,89.69999999999999,Intermediate,1,20.4944
4.2,8.0,45.1,Beginner,0,6.0742
1.1,3.3,100.0,Advanced,2,4.4602
3.2,5.9,100.0,Advanced,2,3.9105
8.0,6.8,33.39999999999999,Beginner,0,21.7906
4.0,9.9,37.449999999999996,Beginner,0,8.7168
7.1,3.9,50.5,Beginner,0,9.1596
3.4,2.2,74.8,Beginner,0,8.1102
3.1,1.2,100.0,Advanced,2,11.9933
9.6,7.0,25.299999999999997,Beginner,0,16.0988
2.0,4.9,68.95,Beginner,0,18.7638
9.0,3.8,42.4,Beginner,0,13.1685
3.4,2.7,100.0,Advanced,2,7.7765
9.0,9.8,15.399999999999991,Beginner,0,20.9642
6.9,5.6,43.75,Beginner,0,23.8237
3.0,7.9,50.949999999999996,Beginner,0,23.9825
3.2,8.6,46.9,Beginner,0,12.3865
7.1,4.3,97.2,Advanced,2,11.6822
4.9,9.0,92.2,Advanced,2,5.0976
2.5,3.4,100.0,Advanced,2,7.482
1.4,1.3,100.0,Intermediate,1,12.8522
5.2,5.1,53.65,Beginner,0,17.5498
1.8,6.5,62.65,Beginner,0,22.5595
3.9,2.9,69.4,Beginner,0,21.5186
8.2,9.5,20.35000000000001,Beginner,0,20.9882
2.0,5.0,68.5,Beginner,0,9.2053
4.6,7.4,96.0,Advanced,2,13.4552
4.7,4.8,100.0,Advanced,2,13.2395
6.4,1.6,100.0,Advanced,2,10.8918
9.1,1.1,99.6,Advanced,2,13.8455
6.1,7.0,41.050000000000004,Beginner,0,19.0622
7.3,3.4,51.85,Beginner,0,13.2612
5.5,1.8,67.15,Beginner,0,5.8335
7.2,8.2,30.700000000000003,Beginner,0,17.0801
6.6,8.6,31.60000000000001,Beginner,0,20.9108
2.8,3.3,100.0,Advanced,2,6.0818
8.7,9.3,84.0,Advanced,2,7.5506
4.8,6.2,50.5,Beginner,0,16.3893
6.1,7.2,40.15,Beginner,0,26.8304
8.3,3.6,46.449999999999996,Beginner,0,19.5505
4.3,9.4,38.35,Beginner,0,25.6621
7.9,9.1,23.5,Beginner,0,19.9479
4.2,7.1,97.4,Advanced,2,8.9093
4.1,6.6,98.6,Advanced,2,12.9537
2.3,4.0,100.0,Advanced,2,7.2756
8.6,1.7,99.4,Advanced,2,6.5528
6.6,7.7,91.4,Advanced,2,10.606
9.2,4.8,37.0,Beginner,0,22.844
5.8,2.6,100.0,Advanced,2,6.778
6.0,1.4,66.69999999999999,Beginner,0,6.9072
8.7,4.8,93.0,Advanced,2,12.4419
8.6,1.6,54.1,Beginner,0,21.4229
2.3,1.7,82.0,Beginner,0,7.9096
6.7,10.0,51.550000000000004,Intermediate,1,11.3465
5.9,4.8,98.6,Advanced,2,14.4066
3.8,5.0,100.0,Advanced,2,12.6806
3.3,8.9,45.1,Beginner,0,18.1546
2.4,7.9,53.65,Beginner,0,23.2143
6.4,8.0,59.6,Intermediate,1,19.2283
6.2,6.3,95.0,Advanced,2,14.4017
7.5,7.9,89.2,Advanced,2,7.2799
4.6,2.2,100.0,Advanced,2,10.3393
1.9,1.2,86.05,Beginner,0,22.1953
1.6,6.0,65.80000000000001,Beginner,0,21.4201
3.9,4.3,63.1,Beginner,0,6.9847
2.3,2.3,100.0,Advanced,2,8.9892
9.7,9.0,15.850000000000009,Beginner,0,19.2264
5.5,9.8,31.14999999999999,Beginner,0,27.3178
1.5,5.8,67.15,Beginner,0,20.9091
7.2,6.5,92.6,Advanced,2,5.5362
3.7,1.3,77.5,Beginner,0,22.4908
3.9,3.3,100.0,Advanced,2,10.0309
8.6,5.3,92.2,Advanced,2,7.1268
1.6,8.0,56.800000000000004,Beginner,0,12.9645
9.3,9.7,43.5,Intermediate,1,18.7401
8.7,5.5,36.1,Beginner,0,22.418
1.7,6.3,64.0,Beginner,0,26.567
3.8,3.6,84.1,Intermediate,1,16.7811
3.2,2.6,73.9,Beginner,0,20.4675
2.1,5.2,100.0,Advanced,2,14.9875
7.5,6.3,37.9,Beginner,0,19.5872
9.5,7.4,23.950000000000003,Beginner,0,18.8525
8.8,3.3,45.55,Beginner,0,21.3253
9.7,7.1,86.4,Advanced,2,12.8636
1.6,1.8,100.0,Advanced,2,7.5461
8.8,6.9,55.05,Intermediate,1,12.2339
3.2,6.8,100.0,Advanced,2,9.2867
7.6,7.5,89.8,Advanced,2,11.3857
5.1,2.0,100.0,Advanced,2,8.5174
6.3,3.8,99.8,Advanced,2,9.334
7.4,1.5,59.949999999999996,Beginner,0,25.2596
7.8,1.3,59.050000000000004,Beginner,0,27.9956
3.7,3.9,100.0,Advanced,2,9.9439
6.0,2.1,100.0,Advanced,2,12.4273
5.7,4.7,53.199999999999996,Beginner,0,27.1064
8.9,5.1,92.0,Advanced,2,11.0268
1.9,9.0,50.949999999999996,Beginner,0,11.7758
3.3,7.6,50.95,Beginner,0,15.602
1.5,7.4,100.0,Advanced,2,7.1508
6.0,1.8,100.0,Advanced,2,13.2715
2.7,2.9,100.0,Advanced,2,8.8674
4.3,10.0,35.64999999999999,Beginner,0,23.7487
8.2,5.1,93.4,Advanced,2,11.6262
2.8,5.7,61.75,Beginner,0,18.807
7.5,3.8,49.15,Beginner,0,14.4502
6.6,9.1,88.6,Advanced,2,14.7814
9.7,3.3,41.5,Beginner,0,7.6189
8.2,4.0,45.1,Beginner,0,16.0362
5.6,3.5,100.0,Advanced,2,14.1299
1.3,2.5,82.9,Beginner,0,6.2205
3.6,8.0,47.800000000000004,Beginner,0,12.8248
