Time Taken (QNS/Minutes),Question Difficulty,Topic Difficulty,Score,Skill Level
0.14831727265999067,7.4,7.4,90.4%,Advanced
0.2214496879476332,5.0,5.9,71.85%,Intermediate
0.21334050517484043,2.4,1.3,83.35%,Beginner
0.04284228417519017,7.7,8.7,87.2%,Advanced
0.44672587288970844,6.5,3.8,53.65%,Beginner
0.20754828414309776,5.8,8.2,92.0%,Advanced
0.3854167438329996,7.7,1.7,57.699999999999996%,Beginner
0.2821987539553717,9.1,8.9,19.0%,Beginner
0.2042764272118217,4.8,5.2,100%,Advanced
0.2014229794799611,2.8,7.2,100%,Advanced
0.2454939708677378,5.5,2.1,100%,Advanced
0.08572285777508976,2.4,7.5,100%,Advanced
0.4215617478850256,5.1,5.6,51.85%,Beginner
0.11579412675096068,9.0,2.3,97.4%,Advanced
0.16568265783878372,5.9,5.5,97.2%,Advanced
0.3456558073320211,9.9,9.1,14.5%,Beginner
0.20860109802290436,2.3,9.2,97.0%,Advanced
0.36742721977917786,8.6,1.1,56.35%,Beginner
0.20107599372201404,3.6,6.0,100%,Advanced
0.23592622637773597,5.0,7.8,42.4%,Beginner
0.32780275134897097,7.6,5.6,40.6%,Beginner
0.42385566527680246,4.2,2.9,68.05%,Beginner
0.16584331771238187,4.6,2.2,69.4%,Beginner
0.39230260933169614,1.8,7.6,57.699999999999996%,Beginner
0.33250198822026766,9.8,2.8,43.3%,Beginner
0.09242164233217455,6.0,9.7,88.6%,Advanced
0.10888853629039627,8.6,8.7,49.45000000000001%,Intermediate
0.28418733330980955,9.2,5.3,34.75%,Beginner
0.12138844831049986,2.6,7.3,100%,Advanced
0.23749448212642008,4.1,2.2,100%,Advanced
0.36906885020662483,9.0,9.8,15.399999999999991%,Beginner
0.08046470362571818,6.7,4.3,98.0%,Advanced
0.044796269781757346,2.1,6.5,100%,Advanced
0.12765517028457363,3.7,9.2,41.95%,Beginner
0.15824921896399502,9.6,1.4,50.5%,Beginner
0.19274894027621942,5.6,9.0,90.8%,Advanced
0.32704336822675406,7.7,4.3,46.0%,Beginner
0.38129154811494087,9.8,4.8,34.3%,Beginner
0.12608903630641027,4.1,7.1,49.6%,Beginner
0.18373530300016572,4.0,9.6,92.8%,Advanced
0.11836034032489817,4.6,3.5,100%,Advanced
0.18674524692169178,4.5,1.2,100%,Advanced
0.1025552410320846,1.8,7.3,59.050000000000004%,Beginner
0.1029311083718145,2.6,3.3,100%,Advanced
0.20942728304566524,1.0,2.0,100%,Advanced
0.07922003560801627,6.6,7.6,91.6%,Advanced
0.11838541710142604,1.4,9.2,98.8%,Advanced
0.11434589911723154,3.4,2.8,72.1%,Beginner
0.2918842946572884,4.8,1.9,86.55000000000001%,Intermediate
0.10822905570933977,8.9,4.2,41.05%,Beginner
0.15168847923678383,1.9,9.3,97.6%,Advanced
0.15058189019198523,8.2,1.6,55.900000000000006%,Beginner
0.16869004696364756,1.6,7.5,78.15%,Intermediate
0.3740300713847013,7.1,5.4,43.75%,Beginner
0.44722376479195075,2.6,4.8,66.69999999999999%,Beginner
0.38709480858373346,2.4,3.1,75.25%,Beginner
0.42982474902050594,2.3,8.4,51.85%,Beginner
0.3817073546331998,2.9,7.9,51.4%,Beginner
0.2013042212856535,2.2,4.3,100%,Advanced
0.38968121227470315,6.8,2.0,60.4%,Beginner
0.1876352000685882,1.8,6.6,100%,Advanced
0.4430690683244885,9.8,9.8,11.799999999999997%,Beginner
0.10913900226193342,6.1,4.8,50.95%,Beginner
0.16996318058355034,2.3,1.6,100%,Advanced
0.3128203487729471,1.8,9.7,48.25%,Beginner
0.32698286103927454,6.9,7.0,37.449999999999996%,Beginner
0.1584849684974721,8.7,7.2,88.2%,Advanced
0.1280554744553628,5.1,4.2,100%,Advanced
0.1145832911959281,2.6,7.0,56.800000000000004%,Beginner
0.38550865869114537,5.0,6.4,48.699999999999996%,Beginner
0.42913366058638275,1.3,4.3,74.8%,Beginner
0.38407856772492166,6.3,1.7,64.0%,Beginner
0.16972690172176944,4.4,3.3,65.35%,Beginner
0.2224741019427825,2.7,3.9,70.3%,Beginner
0.23795909458590728,1.1,5.7,100%,Advanced
0.4200294446058867,3.2,8.4,47.8%,Beginner
0.091823404634628,2.1,9.7,96.4%,Advanced
0.34242084534471007,7.8,6.2,37.0%,Beginner
0.45557734314655696,2.2,5.8,64.0%,Beginner
0.18564056287586486,3.2,1.7,100%,Advanced
0.13697587677694034,3.7,1.5,100%,Advanced
0.17519464702026177,5.0,2.4,100%,Advanced
0.23066222040000678,5.7,8.0,92.6%,Advanced
0.34760743187523774,4.2,6.3,73.25%,Intermediate
0.2049259084509346,7.0,3.8,51.4%,Beginner
0.1579530561562606,9.5,5.5,32.5%,Beginner
0.18112365627731009,2.2,1.2,84.7%,Beginner
0.10174400510592436,7.2,1.8,100%,Advanced
0.19560090753566384,2.3,8.9,49.6%,Beginner
0.15145796781270282,5.7,8.4,91.8%,Advanced
0.30523639424766097,2.8,6.0,60.4%,Beginner
0.14849308778461398,8.7,3.2,96.2%,Advanced
0.3705183494267224,9.9,6.9,24.39999999999999%,Beginner
0.23752837340612035,2.8,7.4,99.6%,Advanced
0.3518059095130929,9.9,9.3,13.599999999999994%,Beginner
0.29321167626690714,2.1,10.0,45.550000000000004%,Beginner
0.163649252981362,4.3,3.8,63.550000000000004%,Beginner
0.2951220865748837,7.9,1.9,55.9%,Beginner
0.08658006774583371,4.3,7.3,96.8%,Advanced
0.07200088694832729,9.6,2.4,96.0%,Advanced
0.12353163730074013,3.4,9.6,94.0%,Advanced
0.14178192148630026,7.9,5.1,94.0%,Advanced
0.35385936374752647,3.6,9.3,41.949999999999996%,Beginner
0.07661423026974318,4.4,5.1,100%,Advanced
0.3620675674881765,4.4,9.6,37.0%,Beginner
0.4024923648956199,9.9,8.0,19.450000000000003%,Beginner
0.19897828737514534,2.8,5.4,81.30000000000001%,Intermediate
0.08672019277332543,2.3,7.5,100%,Advanced
0.20568695094308834,6.9,7.8,90.6%,Advanced
0.15836225377807484,5.4,4.1,57.25%,Beginner
0.23467486089770564,6.7,4.2,50.949999999999996%,Beginner
0.39351635610141367,6.7,1.2,64.44999999999999%,Beginner
0.34797827541840004,5.8,2.7,61.75%,Beginner
0.36691804803421535,9.5,6.2,29.35000000000001%,Beginner
0.2524065497641492,9.7,9.3,43.5%,Intermediate
0.45658220763398616,9.0,7.6,25.299999999999997%,Beginner
0.36426697377687917,2.2,6.9,59.05%,Beginner
0.16548831466035327,6.4,2.6,59.5%,Beginner
0.3950173742110027,7.4,2.6,55.0%,Beginner
0.1114113136893118,7.6,8.9,87.0%,Advanced
0.09207123111982381,4.7,7.7,95.2%,Advanced
0.23105967983828854,9.4,6.4,28.89999999999999%,Beginner
0.10609719628336238,3.3,6.7,100%,Advanced
0.09824611376730556,1.7,3.7,100%,Advanced
0.32145031373708705,6.1,9.9,28.0%,Beginner
0.26949406634755013,2.4,1.6,96.0%,Intermediate
0.1861150014881471,5.1,4.5,100%,Advanced
0.32479584428935626,7.0,3.5,52.75%,Beginner
0.3599464840459974,6.1,5.2,49.15%,Beginner
0.15318810282517245,9.2,1.1,53.650000000000006%,Beginner
0.22970150198438005,6.0,9.4,89.2%,Advanced
0.06613140376640712,1.7,5.7,100%,Advanced
0.0920474554786387,4.3,3.3,100%,Advanced
0.09907421211296102,4.4,8.8,93.6%,Advanced
0.25715510221004073,6.0,4.1,99.8%,Advanced
0.09700526786604614,4.4,7.3,96.6%,Advanced
0.214817785415784,8.6,5.2,92.4%,Advanced
0.1507742921824955,6.4,5.9,44.65%,Beginner
0.4559567906878587,9.0,7.2,27.10000000000001%,Beginner
0.1089013218736579,8.3,9.7,84.0%,Advanced
0.23905127954185115,7.6,8.8,26.200000000000003%,Beginner
0.13341263367680833,1.8,4.6,87.6%,Intermediate
0.3536413912663723,3.4,3.7,68.05%,Beginner
0.13940613338694569,6.8,8.9,29.35000000000001%,Beginner
0.2662325971097609,4.2,9.3,39.25%,Beginner
0.1899029153907336,6.9,3.2,54.55%,Beginner
0.054768808202656685,3.1,7.1,99.6%,Advanced
0.24124299157307671,3.1,1.8,100%,Advanced
0.18627193965414643,7.8,7.9,29.35000000000001%,Beginner
0.09605605513943943,6.7,8.6,31.14999999999999%,Beginner
0.12318413878511936,3.8,3.7,100%,Advanced
0.40942290603774817,8.7,2.1,51.400000000000006%,Beginner
0.16962917966325528,2.4,2.8,100%,Advanced
0.17895492535439034,7.8,2.6,99.2%,Advanced
0.14172724088261135,2.9,9.7,94.8%,Advanced
0.09518910695872042,4.9,7.5,95.2%,Advanced
0.2353135929762478,4.5,8.6,41.050000000000004%,Beginner
0.190969756918381,6.0,6.9,94.2%,Advanced
0.3446631591692637,1.2,6.7,82.35%,Intermediate
0.2185125817354888,9.6,5.4,32.5%,Beginner
0.13754285959230445,1.7,3.1,100%,Advanced
0.2612494021590015,9.6,5.6,31.60000000000001%,Beginner
0.10779781221224241,6.5,5.8,95.4%,Advanced
0.1512956287196843,4.7,7.4,45.55%,Beginner
0.19627735133044974,1.1,4.5,100%,Advanced
0.24259483484670333,1.1,4.1,76.6%,Beginner
0.1738122361763217,4.9,5.1,100%,Advanced
0.2170927301935144,4.4,6.0,53.199999999999996%,Beginner
0.4127842381189963,5.5,5.5,50.5%,Beginner
0.37841035164595777,3.7,6.4,54.55%,Beginner
0.2537062209868574,4.0,5.7,100%,Advanced
0.1178500787369633,8.0,6.8,90.4%,Advanced
0.20398112489342957,9.6,5.2,33.39999999999999%,Beginner
0.3021164872648124,4.9,8.1,41.5%,Beginner
0.33083381582092436,9.5,3.0,43.75%,Beginner
0.21370375010517922,4.1,3.7,64.9%,Beginner
0.19420211455023095,1.1,2.4,84.25%,Beginner
0.24310997397379763,3.1,9.6,42.85%,Beginner
0.14689722489460494,3.3,1.0,100%,Advanced
0.10287388956318883,8.6,3.2,96.4%,Advanced
0.16614099587501932,7.7,3.9,47.800000000000004%,Beginner
0.18625883024370768,3.1,7.9,98.0%,Advanced
0.12291826315382846,5.6,3.1,100%,Advanced
0.38600149897178815,9.4,8.2,20.799999999999997%,Beginner
0.09976499987942136,5.4,5.0,99.2%,Advanced
0.16335523330417798,9.4,7.3,86.6%,Advanced
0.18747596211867906,1.6,6.4,100%,Advanced
0.3764499825467149,3.2,3.7,68.95%,Beginner
0.11402953089127786,1.8,7.2,100%,Advanced
0.12208766307436644,8.0,6.0,92.0%,Advanced
0.19440306476659794,3.1,3.9,100%,Advanced
0.07884470723143497,4.6,6.8,97.2%,Advanced
0.22994349674284253,7.8,3.7,97.0%,Advanced
0.040368938124170584,7.7,9.4,85.8%,Advanced
0.3399921338238978,7.4,8.5,28.450000000000003%,Beginner
0.3679212033392984,6.5,6.1,43.300000000000004%,Beginner
0.17412719837070467,5.3,5.3,52.300000000000004%,Beginner
0.306985781440654,5.1,8.8,61.35%,Intermediate
0.23960637318934816,8.6,5.4,92.0%,Advanced
0.20303262483058968,1.2,5.1,100%,Advanced
0.18359917662387132,4.9,4.3,100%,Advanced
0.10200859848310664,4.5,2.6,100%,Advanced
0.13591568546952582,2.7,6.0,60.85%,Beginner
0.06975895620708945,2.3,7.3,100%,Advanced
0.13635430401631962,3.7,6.4,99.8%,Advanced
0.3503962618418732,10.0,2.6,43.300000000000004%,Beginner
0.10279180387394315,9.8,7.7,21.25%,Beginner
0.24693544767357836,9.2,3.0,95.6%,Advanced
0.23167492742408047,8.2,8.3,87.0%,Advanced
0.2163915611479376,3.7,2.3,100%,Advanced
0.0837048759119438,3.4,8.3,96.6%,Advanced
0.1030690325948065,3.6,7.9,97.0%,Advanced
0.1808125692072083,3.0,7.0,100%,Advanced
0.1790917163437338,1.1,6.1,100%,Advanced
0.23684512866047472,6.8,4.0,98.4%,Advanced
0.05749287506499155,9.0,3.9,94.2%,Advanced
0.20710813460726465,4.1,8.7,94.4%,Advanced
0.16538427926401003,1.5,6.7,63.1%,Beginner
0.20030866519867163,7.2,9.3,87.0%,Advanced
0.2565685508828802,1.2,6.6,64.9%,Beginner
0.25788476085117173,5.5,8.8,35.64999999999999%,Beginner
0.07803211663561191,5.7,5.9,96.8%,Advanced
0.15613890801804128,5.3,1.1,71.2%,Beginner
0.11153991621826784,1.5,1.9,100%,Advanced
0.14657235863080811,4.7,7.3,96.0%,Advanced
0.11779947301582007,7.2,3.1,53.65%,Beginner
0.21296254385759172,3.0,7.5,99.0%,Advanced
0.2632528429436836,4.6,7.6,45.1%,Beginner
0.19171933546489156,2.5,5.0,66.25%,Beginner
0.3956421334664589,8.1,8.4,25.75%,Beginner
0.4470000231123188,4.8,9.2,37.0%,Beginner
0.08444592459254525,7.0,6.2,93.6%,Advanced
0.15535459524970396,9.1,4.1,40.6%,Beginner
0.17632774618474736,1.7,5.6,100%,Advanced
0.06927800039907055,6.5,4.2,98.6%,Advanced
0.11941075700003703,7.7,4.4,45.55%,Beginner
0.31664666779911893,2.3,2.1,80.2%,Beginner
0.04208969205054614,2.0,5.8,100%,Advanced
0.14273560403144034,2.4,4.2,100%,Advanced
0.10487102369951146,1.2,7.1,100%,Advanced
0.13776502203540383,5.7,2.0,100%,Advanced
0.3555755525345058,4.0,5.1,59.050000000000004%,Beginner
0.15601937421839673,8.6,3.4,96.0%,Advanced
0.22869521463615036,5.5,9.4,90.2%,Advanced
0.24460510214985232,5.4,10.0,30.700000000000003%,Beginner
0.15144161064538456,9.2,3.1,95.4%,Advanced
0.12561214319415806,7.4,4.7,95.8%,Advanced
0.14701042262946,2.4,7.6,100%,Advanced
0.12691262230706288,5.4,5.2,98.8%,Advanced
0.1449145132437713,5.6,8.2,92.4%,Advanced
0.41949564146651935,7.5,4.4,46.449999999999996%,Beginner
0.11979253801543584,8.8,2.5,49.15%,Beginner
0.14871707075366175,3.9,1.0,77.95%,Beginner
0.16452553863586927,5.5,8.0,39.25%,Beginner
0.15151407257647892,7.8,2.2,55.0%,Beginner
0.34870431954421655,5.3,7.4,42.85%,Beginner
0.2549950077165459,7.3,5.3,94.8%,Advanced
0.13981976690609782,4.2,7.0,97.6%,Advanced
0.21504390704100507,4.7,3.9,100%,Advanced
0.12958782508350986,1.7,5.9,100%,Advanced
0.40248816245308866,9.0,1.3,53.65%,Beginner
0.4347840698900919,2.3,7.5,55.9%,Beginner
0.3785260849387586,7.6,4.5,45.550000000000004%,Beginner
0.18270934574368294,6.4,3.7,99.8%,Advanced
0.3744666876847931,6.6,4.6,49.6%,Beginner
0.33429675928829294,1.5,6.5,64.0%,Beginner
0.06780178529335362,1.3,5.5,100%,Advanced
0.1128630190456062,1.8,4.2,73.0%,Beginner
0.3197893670434942,3.5,5.3,60.4%,Beginner
0.21719953946425793,6.7,5.5,67.30000000000001%,Intermediate
0.09148991673752921,9.8,3.4,93.6%,Advanced
0.10825369267921509,5.0,4.2,100%,Advanced
0.3749648954913816,3.8,5.8,56.800000000000004%,Beginner
0.10339824753272954,1.2,5.6,100%,Advanced
0.39993963091521534,8.5,8.1,25.299999999999997%,Beginner
0.09664025210485436,6.9,3.7,98.8%,Advanced
0.2372682764053771,9.9,6.1,88.0%,Advanced
0.20948273462507855,7.2,4.5,96.6%,Advanced
0.04888280638542207,6.4,7.0,93.2%,Advanced
0.3141534676614414,3.4,9.1,43.75%,Beginner
0.15990829862740819,2.6,7.4,100%,Advanced
0.18321120559015908,3.7,9.3,41.5%,Beginner
0.13207916483842017,3.2,1.6,100%,Advanced
0.16263988418415162,8.2,6.9,89.8%,Advanced
0.0933548196553231,4.9,6.7,69.39999999999999%,Intermediate
0.3560391187328146,2.8,7.5,53.65%,Beginner
0.16394120136090534,7.2,6.4,92.8%,Advanced
0.2408842418747499,7.9,5.6,93.0%,Advanced
0.3415731203531867,4.2,1.6,89.69999999999999%,Intermediate
0.10123662765162578,4.2,8.0,45.1%,Beginner
0.07433739905520018,1.1,3.3,100%,Advanced
0.06517435111289466,3.2,5.9,100%,Advanced
0.3631759073246026,8.0,6.8,33.39999999999999%,Beginner
0.14528057150367207,4.0,9.9,37.449999999999996%,Beginner
0.15265990969217716,7.1,3.9,50.5%,Beginner
0.13516982189241103,3.4,2.2,74.8%,Beginner
0.1998877552055244,3.1,1.2,100%,Advanced
0.2683131008702174,9.6,7.0,25.299999999999997%,Beginner
0.31272995165202666,2.0,4.9,68.95%,Beginner
0.2194753870753967,9.0,3.8,42.4%,Beginner
0.12960769010421877,3.4,2.7,100%,Advanced
0.34940270936762474,9.0,9.8,15.399999999999991%,Beginner
0.3970615917341021,6.9,5.6,43.75%,Beginner
0.3997087332424589,3.0,7.9,50.949999999999996%,Beginner
0.20644241717939255,3.2,8.6,46.9%,Beginner
0.19470301750375282,7.1,4.3,97.2%,Advanced
0.08495973261583363,4.9,9.0,92.2%,Advanced
0.12469950617390677,2.5,3.4,100%,Advanced
0.21420370401575642,1.4,1.3,100%,Intermediate
0.29249649827372015,5.2,5.1,53.65%,Beginner
0.3759922738498289,1.8,6.5,62.65%,Beginner
0.3586439095335571,3.9,2.9,69.4%,Beginner
0.3498025144151398,8.2,9.5,20.35000000000001%,Beginner
0.15342168628869737,2.0,5.0,68.5%,Beginner
0.2242530221524733,4.6,7.4,96.0%,Advanced
0.22065790201272542,4.7,4.8,100%,Advanced
0.18152954510711766,6.4,1.6,100%,Advanced
0.23075810881038528,9.1,1.1,99.6%,Advanced
0.31770268189039935,6.1,7.0,41.050000000000004%,Beginner
0.2210204765852505,7.3,3.4,51.85%,Beginner
0.0972249002842059,5.5,1.8,67.15%,Beginner
0.28466844839718086,7.2,8.2,30.700000000000003%,Beginner
0.3485128467631513,6.6,8.6,31.60000000000001%,Beginner
0.1013641274781116,2.8,3.3,100%,Advanced
0.12584380176338333,8.7,9.3,84.0%,Advanced
0.2731541717989646,4.8,6.2,50.5%,Beginner
0.44717363436896984,6.1,7.2,40.15%,Beginner
0.32584124881129295,8.3,3.6,46.449999999999996%,Beginner
0.4277019863357181,4.3,9.4,38.35%,Beginner
0.33246575344362633,7.9,9.1,23.5%,Beginner
0.1484891056851919,4.2,7.1,97.4%,Advanced
0.2158945853381734,4.1,6.6,98.6%,Advanced
0.1212604731448123,2.3,4.0,100%,Advanced
0.1092137865686528,8.6,1.7,99.4%,Advanced
0.17676702991402277,6.6,7.7,91.4%,Advanced
0.3807333516456987,9.2,4.8,37.0%,Beginner
0.11296742315792835,5.8,2.6,100%,Advanced
0.11511965670685334,6.0,1.4,66.69999999999999%,Beginner
0.20736558314048212,8.7,4.8,93.0%,Advanced
0.3570479641300918,8.6,1.6,54.1%,Beginner
0.1318261646333051,2.3,1.7,82.0%,Beginner
0.18910915709783804,6.7,10.0,51.550000000000004%,Intermediate
0.24010986671568876,5.9,4.8,98.6%,Advanced
0.21134405002821083,3.8,5.0,100%,Advanced
0.3025759747117432,3.3,8.9,45.1%,Beginner
